Note: 40 | Time: 0
Note: 40 | Time: 96
Note: 40 | Time: 288
Note: 40 | Time: 96
Note: 60 | Time: 288
Note: 60 | Time: 96
Note: 40 | Time: 288
Note: 40 | Time: 96
Note: 40 | Time: 288
Note: 40 | Time: 96
Note: 40 | Time: 288
Note: 40 | Time: 96
Note: 60 | Time: 288
Note: 60 | Time: 96
Note: 40 | Time: 288
Note: 40 | Time: 96
Note: 40 | Time: 288
Note: 40 | Time: 96
Note: 60 | Time: 96
Note: 60 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 60 | Time: 96
Note: 60 | Time: 96
Note: 60 | Time: 96
Note: 60 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 60 | Time: 96
Note: 60 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 40 | Time: 96
Note: 60 | Time: 0
Note: 60 | Time: 96
Note: 60 | Time: 0
Note: 60 | Time: 96
Note: 60 | Time: 0
Note: 60 | Time: 96
Note: 40 | Time: 0
Note: 40 | Time: 96
Note: 47 | Time: 0
